name;ID;country;province;prefecture/city ;county;latitude;longitude;date;host
AB028257_Japan_1981;AB028257;Japan;NA;NA;NA;NA;NA;1981;NA
AB028258_Japan_1985;AB028258;Japan;NA;NA;NA;NA;NA;1985;NA
AB028259_Japan_1985;AB028259;Japan;NA;NA;NA;NA;NA;1985;NA
AB028260_Japan_1985;AB028260;Japan;NA;NA;NA;NA;NA;1985;NA
AB028261_Japan_1986;AB028261;Japan;NA;NA;NA;NA;NA;1986;NA
AB028262_Japan_1986;AB028262;Japan;NA;NA;NA;NA;NA;1986;NA
AB028263_Japan_1986;AB028263;Japan;NA;NA;NA;NA;NA;1986;NA
AB028264_Japan_1988;AB028264;Japan;NA;NA;NA;NA;NA;1988;NA
AB028265_Japan_1989;AB028265;Japan;NA;NA;NA;NA;NA;1989;NA
AB028266_Japan_1989;AB028266;Japan;NA;NA;NA;NA;NA;1989;NA
AB028267_Japan_1990;AB028267;Japan;NA;NA;NA;NA;NA;1990;NA
AB028268_Japan_1990;AB028268;Japan;NA;NA;NA;NA;NA;1990;NA
AB028269_Japan_1969;AB028269;Japan;NA;NA;NA;NA;NA;1969;NA
AB028270_Japan_1970;AB028270;Japan;NA;NA;NA;NA;NA;1970;NA
AB028271_Japan_1971;AB028271;Japan;NA;NA;NA;NA;NA;1971;NA
AB051292_swine_Japan_1994;AB051292;Japan;NA;NA;NA;NA;NA;1994;swine
AB112703_swine_Japan_2002;AB112703;Japan;NA;NA;NA;NA;NA;2002;swine
AB112705_swine_Japan_2002;AB112705;Japan;NA;NA;NA;NA;NA;2002;swine
AB112706_swine_Japan_2002;AB112706;Japan;NA;NA;NA;NA;NA;2002;swine
AB112709_swine_Japan_2002;AB112709;Japan;NA;NA;NA;NA;NA;2002;swine
AB174837_swine_Japan_1998;AB174837;Japan;NA;NA;NA;NA;NA;1998;swine
AB174838_swine_Japan_2000;AB174838;Japan;NA;NA;NA;NA;NA;2000;swine
AB231462_swine_Japan_2004;AB231462;Japan;NA;NA;NA;NA;NA;2004;swine
AB231463_swine_Japan_2004;AB231463;Japan;NA;NA;NA;NA;NA;2004;swine
AB231464_swine_Japan_2004;AB231464;Japan;NA;NA;NA;NA;NA;2004;swine
AB231465_swine_Japan_2002;AB231465;Japan;NA;NA;NA;NA;NA;2002;swine
AB237171_swine_Japan_1994;AB237171;Japan;NA;NA;NA;NA;NA;1994;swine
AB238693_swine_Japan_2003;AB238693;Japan;NA;NA;NA;NA;NA;2003;swine
AB269326_human_Japan_1960;AB269326;Japan;NA;NA;NA;NA;NA;1960;human
AB306941_swine_Japan_1998;AB306941;Japan;NA;NA;NA;NA;NA;1998;swine
AB379813_human_India_1973;AB379813;India;NA;NA;NA;NA;NA;1973;human
AB471666_swine_Japan_2008-06-09;AB471666;Japan;NA;NA;NA;NA;NA;2008/06/09;swine
AB471668_swine_Japan_2008-07-07;AB471668;Japan;NA;NA;NA;NA;NA;2008/07/07;swine
AB471669_swine_Japan_2008-08-11;AB471669;Japan;NA;NA;NA;NA;NA;2008/08/11;swine
AB481224_swine_Japan_2008-12-12;AB481224;Japan;NA;NA;NA;NA;NA;2008/12/12;swine
AB538601_mosquito_Japan_2005;AB538601;Japan;NA;NA;NA;NA;NA;2005;mosquito
AB538603_mosquito_Japan_2005;AB538603;Japan;NA;NA;NA;NA;NA;2005;mosquito
AB538604_mosquito_Japan_2005;AB538604;Japan;NA;NA;NA;NA;NA;2005;mosquito
